City_ID,Weather City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
240,arraial do cabo,BR,1587252291,-22.84,-46.65,55,72,66.2,17.22
241,wexford,IE,1587252242,52.33,-6.46,85,96,48,5.01
242,kismayo,SO,1587252291,-0.36,42.55,100,77,83.16,7.11
243,manggar,ID,1587252291,-2.88,108.27,98,78,81.86,1.66
244,ust-omchug,RU,1587252291,61.15,149.63,100,77,-1.53,11.63
245,aswan,EG,1587252043,24.09,32.91,3,23,73.4,12.75
246,kodiak,US,1587252229,57.79,-152.41,20,75,46.4,13.87
247,ganzhou,CN,1587252292,28.82,115.43,99,87,61.81,3.94
248,rayagada,IN,1587252292,19.17,83.42,0,69,76.64,1.28
249,hithadhoo,MV,1587252292,-0.6,73.08,79,73,83.93,11.03
250,nichinan,JP,1587252292,31.6,131.37,61,72,59,3.36
251,tecpan,GT,1587252357,14.76,-90.99,5,65,77,11.41
252,orje,NO,1587252357,59.48,11.66,0,60,39.2,6.93
253,vila velha,PT,1587252357,42.03,-8.16,90,93,50,2.24
254,jiangyou,CN,1587252357,31.77,104.72,26,60,62.06,0.78
255,myanaung,MM,1587252358,18.28,95.32,0,57,74.01,2.57
256,kruisfontein,ZA,1587252358,-34,24.73,0,36,65.39,6.62
257,mizur,RU,1587252358,42.85,44.05,96,86,39.2,8.95
258,san quintin,ML,1587252358,13.3,-4.9,99,21,94.12,8.41
259,bindi,SL,1587252358,9.92,-11.45,99,69,76.84,8.08
260,puerto colombia,ES,1587252071,36.59,-6.23,42,82,62.6,8.05
261,birao,CF,1587252358,10.28,22.79,90,14,76.93,1.74
262,manavalakurichi,IN,1587252359,8.13,77.3,40,83,82.4,5.82
263,karratha,AU,1587252359,-20.74,116.85,89,49,84.7,7.85
264,buraydah,SA,1587252099,26.33,43.98,93,93,64.4,13.87
265,kahului,US,1587252066,20.89,-156.47,20,51,84.2,16.11
266,grand-lahou,CI,1587252359,5.14,-5.02,82,84,81.39,11.7
267,tamiahua,MX,1587252359,21.27,-97.45,50,85,81.68,8.79
268,cherskiy,RU,1587252359,68.75,161.3,22,88,7.32,8.97
269,saint-georges,GD,1587252359,12.06,-61.75,20,78,80.6,9.17
270,esmeralda,CU,1587252360,21.85,-78.12,10,67,79.92,5.77
271,avera,US,1587252360,33.19,-82.53,1,29,75.2,10.29
272,colorado,BR,1587252360,-22.84,-51.97,0,73,63.41,5.64
273,salina,US,1587252087,38.84,-97.61,1,29,66.2,17.22
